"time","qy_1","qy_2","qy_3","qy_4"
2025-04-07 18:14:23.45,0.786,0.559,0.609,0.758
2025-04-07 18:29:22.595,0.801,0.588,0.646,0.761
2025-04-07 18:44:21.773,0.808,0.586,0.628,0.793
2025-04-07 18:59:20.879,0.798,0.576,0.618,0.788
2025-04-07 19:14:20.096,0.814,0.545,0.6,0.767
2025-04-07 19:29:19.316,0.781,0.482,0.564,0.716
2025-04-07 19:44:18.56,0.773,0.563,0.608,0.75
2025-04-07 19:59:17.863,0.815,0.695,0.737,0.808
2025-04-07 20:14:16.869,0.854,0.869,0.888,0.87
2025-04-07 20:29:16.002,0.891,0.876,0.906,0.883
2025-04-07 21:00:03.211,0.901,0.868,0.901,0.889
2025-04-07 22:00:01.243,0.894,0.873,0.907,0.879
2025-04-07 22:59:59.288,0.905,0.871,0.905,0.883
2025-04-07 23:59:57.546,0.871,0.87,0.906,0.854
2025-04-08 00:59:55.846,0.895,0.869,0.898,0.868
2025-04-08 01:59:54.075,0.882,0.866,0.893,0.88
2025-04-08 02:59:52.237,0.871,0.856,0.908,0.893
2025-04-08 03:59:50.424,0.887,0.865,0.885,0.891
2025-04-08 05:05:02.785,0.9,0.859,0.894,0.897
2025-04-08 06:00:02.951,0.887,0.835,0.87,0.872
2025-04-08 06:15:02.245,0.875,0.85,0.879,0.885
2025-04-08 06:30:01.773,0.876,0.847,0.873,0.856
2025-04-08 06:45:00.814,0.875,0.845,0.881,0.868
2025-04-08 06:59:59.86,0.829,0.826,0.849,0.856
2025-04-08 07:14:59.077,0.852,0.797,0.84,0.82
2025-04-08 07:29:58.686,0.794,0.81,0.845,0.819
2025-04-08 07:44:57.887,0.823,0.802,0.829,0.825
2025-04-08 07:59:57.081,0.82,0.799,0.83,0.787
2025-04-08 08:14:56.312,0.797,0.794,0.823,0.781
2025-04-08 08:29:55.452,0.769,0.794,0.804,0.754
2025-04-08 08:44:54.508,0.792,0.798,0.802,0.627
2025-04-08 08:59:53.656,0.807,0.781,0.8,0.631
2025-04-08 09:14:52.955,0.742,0.767,0.789,0.675
2025-04-08 09:29:52.29,0.693,0.766,0.777,0.694
2025-04-08 09:44:51.558,0.556,0.75,0.785,0.66
2025-04-08 09:59:50.922,0.635,0.745,0.739,0.625
2025-04-08 10:14:50.173,0.436,0.74,0.764,0.591
2025-04-08 10:29:49.379,0.337,0.751,0.771,0.699
2025-04-08 10:44:48.566,0.413,0.742,0.766,0.658
2025-04-08 10:59:47.654,0.295,0.725,0.753,0.459
2025-04-08 11:14:46.995,0.434,0.713,0.748,0.48
2025-04-08 11:29:46.056,0.368,0.712,0.739,0.465
2025-04-08 11:44:45.238,0.284,0.702,0.729,0.603
2025-04-08 11:59:44.374,0.394,0.674,0.722,0.521
2025-04-08 12:14:43.431,0.525,0.684,0.715,0.589
2025-04-08 12:29:42.61,0.584,0.597,0.717,0.455
2025-04-08 12:44:41.715,0.328,0.609,0.718,0.442
2025-04-08 12:59:40.786,0.436,0.671,0.719,0.681
2025-04-08 13:14:40.028,0.529,0.607,0.692,0.551
2025-04-08 13:29:39.63,0.5,0.583,0.715,0.441
2025-04-08 13:44:39.21,0.217,0.638,0.584,0.703
2025-04-08 13:59:38.766,0.233,0.611,0.524,0.477
2025-04-08 14:14:38.342,0.456,0.6,0.562,0.441
